"Points:0","Points:1","Points:2","U:0","U:1","U:2","cp","p"
-1.694,0.21228,-0.62544,0,0,0,-33.536,675.06
-0.60134,0.2,-0.62372,0,0,0,-33.7,182.81
-0.58808,0.2,-0.60922,0,0,0,-33.663,294.04
-0.58808,0.2125,-0.60922,0,0,0,-33.664,290.82
-0.60134,0.2125,-0.62372,0,0,0,-33.7,182.76
-1.699,0.29941,-0.62604,0,0,0,-33.671,271.17
-1.701,0.29928,-0.61206,0,0,0,-33.724,109.39
-1.7038,0.31161,-0.61157,0,0,0,-33.786,-74.307
-1.7015,0.31162,-0.62608,0,0,0,-33.67,273.74
-0.60211,0.30003,-0.62064,0,0,0,-33.887,-377.96
-0.58947,0.29993,-0.60689,0,0,0,-33.887,-377.41
-0.59126,0.31123,-0.60486,0,0,0,-33.977,-648.05
-0.60001,0.31465,-0.60986,0,0,0,-34.019,-775.76
-0.60377,0.31093,-0.61889,0,0,0,-33.96,-597.65
1.1125,0.0088105,-0.5,0,0,0,-33.934,-519.51
1.1,0.0090868,-0.5,0,0,0,-33.916,-466.68
1.1,0.0090901,-0.48438,0,0,0,-33.918,-472.44
1.1125,0.0088133,-0.48438,0,0,0,-33.935,-523.91
-0.39052,0.017798,-0.36913,0,0,0,-33.957,-588.36
-0.40091,0.015367,-0.37293,0,0,0,-34.047,-859.38
-0.39886,0.010444,-0.36076,0,0,0,-34.178,-1253
-0.38887,0.013987,-0.35752,0,0,0,-34.07,-927.93
1.1125,0.0088065,-0.375,0,0,0,-33.933,-516.01
1.1,0.0090828,-0.375,0,0,0,-33.918,-470.85
1.1,0.0090807,-0.35938,0,0,0,-33.917,-469.44
1.1125,0.0088039,-0.35938,0,0,0,-33.932,-513.75
-1.8996,0.30113,-0.37335,0,0,0,-33.748,39.481
-1.8938,0.30115,-0.35835,0,0,0,-33.742,55.82
-1.8938,0.31042,-0.35834,0,0,0,-33.751,29.604
-1.8996,0.31037,-0.37334,0,0,0,-33.755,19.118
0.19964,0.013824,-0.23852,0,0,0,-33.815,-162.13
0.1995,0.003731,-0.23052,0,0,0,-33.775,-43.536
0.21238,0.0040877,-0.22974,0,0,0,-33.711,151.31
0.21246,0.014072,-0.23704,0,0,0,-33.703,174.14
0.29969,0.014773,-0.2324,0,0,0,-33.787,-79.389
0.29981,0.0050087,-0.22728,0,0,0,-33.786,-75.292
0.3122,0.0051191,-0.22674,0,0,0,-33.792,-91.92
0.31207,0.014867,-0.23163,0,0,0,-33.794,-99.682
1.1125,0.0088154,-0.25,0,0,0,-33.928,-501
1.1,0.0090912,-0.25,0,0,0,-33.913,-457.16
1.1,0.0090888,-0.23438,0,0,0,-33.913,-457.39
1.1125,0.0088131,-0.23438,0,0,0,-33.928,-502.36
0.20029,0.11252,-0.24381,0,0,0,-33.802,-122.95
0.2003,0.10001,-0.2437,0,0,0,-33.806,-136.48
0.21272,0.1,-0.24239,0,0,0,-33.746,44.106
0.21272,0.1125,-0.24241,0,0,0,-33.752,26.58
0.29955,0.1125,-0.23504,0,0,0,-33.759,6.9657
0.29955,0.1,-0.23504,0,0,0,-33.761,0.21212
0.31191,0.1,-0.23403,0,0,0,-33.758,9.3578
0.31191,0.1125,-0.23403,0,0,0,-33.755,17.768
0.20029,0.21248,-0.24371,0,0,0,-33.849,-263.17
0.20029,0.19995,-0.24381,0,0,0,-33.828,-200.04
0.21271,0.19999,-0.24241,0,0,0,-33.766,-16.01
0.21271,0.21249,-0.24239,0,0,0,-33.778,-51.836
0.29955,0.2125,-0.23504,0,0,0,-33.769,-25.528
0.29955,0.2,-0.23504,0,0,0,-33.765,-12.772
0.31191,0.2,-0.23403,0,0,0,-33.758,7.6211
0.31191,0.2125,-0.23403,0,0,0,-33.762,-3.7613
0.21519,0.29986,-0.2443,0,0,0,-34.107,-1038.6
0.21519,0.31243,-0.24429,0,0,0,-34.03,-806.64
0.29955,0.3125,-0.23504,0,0,0,-33.773,-36.573
0.29955,0.3,-0.23504,0,0,0,-33.79,-87.027
0.31191,0.3,-0.23403,0,0,0,-33.779,-54.177
0.31191,0.3125,-0.23403,0,0,0,-33.766,-13.983
0.2003,0.4125,-0.24363,0,0,0,-33.839,-233.23
0.2003,0.4,-0.24364,0,0,0,-33.851,-270.25
0.21272,0.4,-0.24237,0,0,0,-33.766,-14.208
0.21272,0.4125,-0.24237,0,0,0,-33.752,26.82
0.29955,0.4125,-0.23504,0,0,0,-33.797,-107.73
0.29955,0.4,-0.23504,0,0,0,-33.796,-103.94
0.31191,0.4,-0.23403,0,0,0,-33.792,-92.683
0.31191,0.4125,-0.23403,0,0,0,-33.794,-100.3
0.20027,0.51249,-0.24358,0,0,0,-33.808,-140.09
0.20029,0.5,-0.24363,0,0,0,-33.808,-139.77
0.21271,0.5,-0.24235,0,0,0,-33.72,121.46
